i_iter:60000,        miou:31.75000 
i_iter:60500,        miou:31.75000 
i_iter:61000,        miou:30.99000 
i_iter:61500,        miou:31.96000 
i_iter:62000,        miou:31.53000 
i_iter:62500,        miou:33.74000 
i_iter:63000,        miou:31.02000 
i_iter:63500,        miou:35.21000 
i_iter:64000,        miou:28.45000 
i_iter:64500,        miou:31.51000 
i_iter:65000,        miou:31.62000 
i_iter:65500,        miou:31.30000 
i_iter:66000,        miou:33.47000 
i_iter:66500,        miou:30.85000 
i_iter:67000,        miou:28.72000 
i_iter:67500,        miou:29.31000 
i_iter:68000,        miou:30.21000 
i_iter:68500,        miou:25.67000 
i_iter:69000,        miou:29.96000 
i_iter:69500,        miou:31.37000 
i_iter:70000,        miou:32.42000 
i_iter:70500,        miou:32.40000 
i_iter:71000,        miou:32.52000 
i_iter:71500,        miou:31.21000 
i_iter:72000,        miou:29.23000 
i_iter:72500,        miou:30.89000 
i_iter:73000,        miou:32.25000 
i_iter:73500,        miou:33.25000 
i_iter:74000,        miou:28.99000 
i_iter:74500,        miou:34.16000 
i_iter:75000,        miou:32.86000 
i_iter:75500,        miou:32.70000 
i_iter:76000,        miou:31.04000 
i_iter:76500,        miou:29.63000 
i_iter:77000,        miou:31.13000 
i_iter:77500,        miou:32.10000 
i_iter:78000,        miou:30.08000 
i_iter:78500,        miou:29.94000 
i_iter:79000,        miou:32.17000 
i_iter:79500,        miou:31.68000 
i_iter:80000,        miou:30.29000 
i_iter:80500,        miou:30.20000 
i_iter:81000,        miou:30.62000 
i_iter:81500,        miou:32.28000 
i_iter:82000,        miou:29.96000 
i_iter:82500,        miou:32.84000 
i_iter:83000,        miou:31.26000 
i_iter:83500,        miou:34.45000 
i_iter:84000,        miou:30.64000 
i_iter:84500,        miou:32.76000 
i_iter:85000,        miou:33.42000 
i_iter:85500,        miou:32.02000 
i_iter:86000,        miou:33.18000 
i_iter:86500,        miou:32.69000 
i_iter:87000,        miou:31.08000 
i_iter:87500,        miou:30.62000 
i_iter:88000,        miou:31.42000 
i_iter:88500,        miou:31.19000 
i_iter:89000,        miou:31.39000 
i_iter:89500,        miou:36.66000 
i_iter:90000,        miou:34.95000 
i_iter:90500,        miou:31.40000 
i_iter:91000,        miou:27.80000 
i_iter:91500,        miou:32.50000 
i_iter:92000,        miou:33.09000 
i_iter:92500,        miou:33.27000 
i_iter:93000,        miou:35.67000 
i_iter:93500,        miou:31.84000 
i_iter:94000,        miou:29.78000 
i_iter:94500,        miou:31.13000 
i_iter:95000,        miou:33.96000 
i_iter:95500,        miou:34.60000 
i_iter:96000,        miou:31.66000 
i_iter:96500,        miou:33.13000 
i_iter:97000,        miou:29.75000 
i_iter:97500,        miou:32.79000 
i_iter:98000,        miou:31.19000 
i_iter:98500,        miou:30.71000 
i_iter:99000,        miou:31.04000 
i_iter:99500,        miou:35.46000 
i_iter:100000,        miou:34.32000 
